GP Practice Code,GP Practice Name,UEC Site Code,UEC Site Name,duration
A81611,PARKWAY MEDICAL CENTRE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2600.95
A81058,COULBY MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1915.04
A81611,PARKWAY MEDICAL CENTRE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1915.04
A81058,COULBY MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,3339.84
A81611,PARKWAY MEDICAL CENTRE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,3339.84
A81058,COULBY MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,7151.32
A81611,PARKWAY MEDICAL CENTRE,RTFDH,BERWICK INFIRMARY,7151.32
A81058,COULBY MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,5083.89
A81611,PARKWAY MEDICAL CENTRE,RTFDJ,ALNWICK INFIRMARY,5083.89
A81058,COULBY MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,4503.18
A81611,PARKWAY MEDICAL CENTRE,RTFDR,HEXHAM GENERAL HOSPITAL,4503.18
A81058,COULBY MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,3961.02
A81611,PARKWAY MEDICAL CENTRE,RTFED,WANSBECK HOSPITAL,3961.02
A83057,EAST DURHAM MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,1309.07
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,R0B01,SUNDERLAND ROYAL HOSPITAL,1309.07
A83057,EAST DURHAM MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1326.36
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1326.36
A83057,EAST DURHAM MEDICAL GROUP,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1866.47
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1866.47
A83057,EAST DURHAM MEDICAL GROUP,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,2226.32
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,2226.32
A83057,EAST DURHAM MEDICAL GROUP,RTFDH,BERWICK INFIRMARY,6037.8
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,RTFDH,BERWICK INFIRMARY,6037.8
A83057,EAST DURHAM MEDICAL GROUP,RTFDJ,ALNWICK INFIRMARY,3970.37
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,RTFDJ,ALNWICK INFIRMARY,3970.37
A83057,EAST DURHAM MEDICAL GROUP,RTFDR,HEXHAM GENERAL HOSPITAL,3389.66
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,RTFDR,HEXHAM GENERAL HOSPITAL,3389.66
A83057,EAST DURHAM MEDICAL GROUP,RTFED,WANSBECK HOSPITAL,2847.5
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,RTFED,WANSBECK HOSPITAL,2847.5
A83029,GREAT LUMLEY SURGERY,R0B01,SUNDERLAND ROYAL HOSPITAL,1059.49
A83029,GREAT LUMLEY SURGERY,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,709.71
A83029,GREAT LUMLEY SURGERY,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2024.38
A83029,GREAT LUMLEY SURGERY,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1700.56
A83029,GREAT LUMLEY SURGERY,RTFDH,BERWICK INFIRMARY,5566.01
A83029,GREAT LUMLEY SURGERY,RTFDJ,ALNWICK INFIRMARY,3498.58
A83029,GREAT LUMLEY SURGERY,RTFDR,HEXHAM GENERAL HOSPITAL,2612.77
A83029,GREAT LUMLEY SURGERY,RTFED,WANSBECK HOSPITAL,2520.58
A81017,WOODBRIDGE PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,2263.1
A81034,THORNABY & BARWICK MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,2263.1
A81017,WOODBRIDGE PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2441.46
A81034,THORNABY & BARWICK MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2441.46
A81017,WOODBRIDGE PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1542.97
A81034,THORNABY & BARWICK MEDICAL GROUP,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1542.97
A81017,WOODBRIDGE PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,3180.35
A81034,THORNABY & BARWICK MEDICAL GROUP,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,3180.35
A81017,WOODBRIDGE PRACTICE,RTFDH,BERWICK INFIRMARY,6991.83
A81034,THORNABY & BARWICK MEDICAL GROUP,RTFDH,BERWICK INFIRMARY,6991.83
A81017,WOODBRIDGE PRACTICE,RTFDJ,ALNWICK INFIRMARY,4924.4
A81034,THORNABY & BARWICK MEDICAL GROUP,RTFDJ,ALNWICK INFIRMARY,4924.4
A81017,WOODBRIDGE PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,4343.69
A81034,THORNABY & BARWICK MEDICAL GROUP,RTFDR,HEXHAM GENERAL HOSPITAL,4343.69
A81017,WOODBRIDGE PRACTICE,RTFED,WANSBECK HOSPITAL,3801.53
A81034,THORNABY & BARWICK MEDICAL GROUP,RTFED,WANSBECK HOSPITAL,3801.53
A83021,AUCKLAND MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,2291.34
A83021,AUCKLAND MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1628.72
A83021,AUCKLAND MEDICAL GROUP,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1075.13
A83021,AUCKLAND MEDICAL GROUP,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,2778.28
A83021,AUCKLAND MEDICAL GROUP,RTFDH,BERWICK INFIRMARY,6643.73
A83021,AUCKLAND MEDICAL GROUP,RTFDJ,ALNWICK INFIRMARY,4576.29
A83021,AUCKLAND MEDICAL GROUP,RTFDR,HEXHAM GENERAL HOSPITAL,2981.56
A83021,AUCKLAND MEDICAL GROUP,RTFED,WANSBECK HOSPITAL,3598.3
A89013,THE NEW CITY MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,362.24
A89013,THE NEW CITY MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1927.82
A89013,THE NEW CITY MEDICAL GROUP,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2862.06
A89013,THE NEW CITY MEDICAL GROUP,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1868.67
A89013,THE NEW CITY MEDICAL GROUP,RTFDH,BERWICK INFIRMARY,5680.15
A89013,THE NEW CITY MEDICAL GROUP,RTFDJ,ALNWICK INFIRMARY,3612.72
A89013,THE NEW CITY MEDICAL GROUP,RTFDR,HEXHAM GENERAL HOSPITAL,3030.54
A89013,THE NEW CITY MEDICAL GROUP,RTFED,WANSBECK HOSPITAL,2489.85
A89022,CONCORD MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,717.95
A89026,NEW WASHINGTON MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,717.95
A89010,THE STEPHENSON MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,717.95
A89022,CONCORD MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1255.28
A89026,NEW WASHINGTON MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1255.28
A89010,THE STEPHENSON MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1255.28
A89022,CONCORD MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2212.27
A89026,NEW WASHINGTON MEDICAL GROUP,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2212.27
A89010,THE STEPHENSON MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2212.27
A89022,CONCORD MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1297.67
A89026,NEW WASHINGTON MEDICAL GROUP,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1297.67
A89010,THE STEPHENSON MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1297.67
A89022,CONCORD MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,5285.94
A89026,NEW WASHINGTON MEDICAL GROUP,RTFDH,BERWICK INFIRMARY,5285.94
A89010,THE STEPHENSON MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,5285.94
A89022,CONCORD MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,3218.5
A89026,NEW WASHINGTON MEDICAL GROUP,RTFDJ,ALNWICK INFIRMARY,3218.5
A89010,THE STEPHENSON MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,3218.5
A89022,CONCORD MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,2370.19
A89026,NEW WASHINGTON MEDICAL GROUP,RTFDR,HEXHAM GENERAL HOSPITAL,2370.19
A89010,THE STEPHENSON MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,2370.19
A89022,CONCORD MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,2095.64
A89026,NEW WASHINGTON MEDICAL GROUP,RTFED,WANSBECK HOSPITAL,2095.64
A89010,THE STEPHENSON MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,2095.64
A81057,KINGSWAY MEDICAL CENTRE,R0B01,SUNDERLAND ROYAL HOSPITAL,2048.27
A81057,KINGSWAY MEDICAL CENTRE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2226.62
A81057,KINGSWAY MEDICAL CENTRE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1870.31
A81057,KINGSWAY MEDICAL CENTRE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,2965.51
A81057,KINGSWAY MEDICAL CENTRE,RTFDH,BERWICK INFIRMARY,6777.0
A81057,KINGSWAY MEDICAL CENTRE,RTFDJ,ALNWICK INFIRMARY,4709.56
A81057,KINGSWAY MEDICAL CENTRE,RTFDR,HEXHAM GENERAL HOSPITAL,4128.86
A81057,KINGSWAY MEDICAL CENTRE,RTFED,WANSBECK HOSPITAL,3586.7
A81048,ZETLAND MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,3101.25
A81048,ZETLAND MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,3279.6
A81048,ZETLAND MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2593.7
A81048,ZETLAND MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,4018.5
A81048,ZETLAND MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,7829.98
A81048,ZETLAND MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,5762.55
A81048,ZETLAND MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,5181.84
A81048,ZETLAND MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,4639.68
A81035,NEWLANDS MEDICAL CENTRE,R0B01,SUNDERLAND ROYAL HOSPITAL,2289.58
A81035,NEWLANDS MEDICAL CENTRE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2467.94
A81035,NEWLANDS MEDICAL CENTRE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1705.42
A81035,NEWLANDS MEDICAL CENTRE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,3206.83
A81035,NEWLANDS MEDICAL CENTRE,RTFDH,BERWICK INFIRMARY,7018.31
A81035,NEWLANDS MEDICAL CENTRE,RTFDJ,ALNWICK INFIRMARY,4950.88
A81035,NEWLANDS MEDICAL CENTRE,RTFDR,HEXHAM GENERAL HOSPITAL,4370.17
A81035,NEWLANDS MEDICAL CENTRE,RTFED,WANSBECK HOSPITAL,3828.01
A87013,BEWICKE MEDICAL CENTRE,R0B01,SUNDERLAND ROYAL HOSPITAL,1083.34
A87013,BEWICKE MEDICAL CENTRE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1814.93
A87013,BEWICKE MEDICAL CENTRE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2771.92
A87013,BEWICKE MEDICAL CENTRE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,927.77
A87013,BEWICKE MEDICAL CENTRE,RTFDH,BERWICK INFIRMARY,4484.51
A87013,BEWICKE MEDICAL CENTRE,RTFDJ,ALNWICK INFIRMARY,2417.08
A87013,BEWICKE MEDICAL CENTRE,RTFDR,HEXHAM GENERAL HOSPITAL,2360.5
A87013,BEWICKE MEDICAL CENTRE,RTFED,WANSBECK HOSPITAL,1294.21
A88004,MAYFIELD MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,945.57
A88004,MAYFIELD MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1545.96
A88004,MAYFIELD MEDICAL GROUP,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2502.95
A88004,MAYFIELD MEDICAL GROUP,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1301.86
A88004,MAYFIELD MEDICAL GROUP,RTFDH,BERWICK INFIRMARY,4946.08
A88004,MAYFIELD MEDICAL GROUP,RTFDJ,ALNWICK INFIRMARY,2878.65
A88004,MAYFIELD MEDICAL GROUP,RTFDR,HEXHAM GENERAL HOSPITAL,2703.57
A88004,MAYFIELD MEDICAL GROUP,RTFED,WANSBECK HOSPITAL,1755.78
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,737.86
A89012,GALLERIES MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,737.86
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1131.13
A89012,GALLERIES MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1131.13
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2088.12
A89012,GALLERIES MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2088.12
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1318.83
A89012,GALLERIES MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1318.83
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,5268.74
A89012,GALLERIES MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,5268.74
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,3201.3
A89012,GALLERIES MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,3201.3
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,2315.49
A89012,GALLERIES MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,2315.49
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,2115.55
A89012,GALLERIES MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,2115.55
A86017,CRUDDAS PARK SURGERY,R0B01,SUNDERLAND ROYAL HOSPITAL,1542.17
A86017,CRUDDAS PARK SURGERY,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1904.07
A86017,CRUDDAS PARK SURGERY,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2861.06
A86017,CRUDDAS PARK SURGERY,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,395.14
A86017,CRUDDAS PARK SURGERY,RTFDH,BERWICK INFIRMARY,4583.51
A86017,CRUDDAS PARK SURGERY,RTFDJ,ALNWICK INFIRMARY,2516.07
A86017,CRUDDAS PARK SURGERY,RTFDR,HEXHAM GENERAL HOSPITAL,1630.26
A86017,CRUDDAS PARK SURGERY,RTFED,WANSBECK HOSPITAL,1689.83
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,737.86
A89012,GALLERIES MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,737.86
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1131.13
A89012,GALLERIES MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1131.13
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2088.12
A89012,GALLERIES MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2088.12
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1318.83
A89012,GALLERIES MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1318.83
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,5268.74
A89012,GALLERIES MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,5268.74
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,3201.3
A89012,GALLERIES MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,3201.3
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,2315.49
A89012,GALLERIES MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,2315.49
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,2115.55
A89012,GALLERIES MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,2115.55
A84042,SCOTS GAP MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,2871.97
A84042,SCOTS GAP MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,3509.45
A84042,SCOTS GAP MEDICAL GROUP,RXPDA,DARLINGTON MEMORIAL HOSPITAL,4466.44
A84042,SCOTS GAP MEDICAL GROUP,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1575.22
A84042,SCOTS GAP MEDICAL GROUP,RTFDH,BERWICK INFIRMARY,3816.54
A84042,SCOTS GAP MEDICAL GROUP,RTFDJ,ALNWICK INFIRMARY,1833.4
A84042,SCOTS GAP MEDICAL GROUP,RTFDR,HEXHAM GENERAL HOSPITAL,1912.97
A84042,SCOTS GAP MEDICAL GROUP,RTFED,WANSBECK HOSPITAL,1622.31
A84619,ELSDON AVENUE SURGERY,R0B01,SUNDERLAND ROYAL HOSPITAL,1630.56
A84619,ELSDON AVENUE SURGERY,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2362.15
A84619,ELSDON AVENUE SURGERY,RXPDA,DARLINGTON MEMORIAL HOSPITAL,3319.14
A84619,ELSDON AVENUE SURGERY,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1003.54
A84619,ELSDON AVENUE SURGERY,RTFDH,BERWICK INFIRMARY,4315.65
A84619,ELSDON AVENUE SURGERY,RTFDJ,ALNWICK INFIRMARY,2248.22
A84619,ELSDON AVENUE SURGERY,RTFDR,HEXHAM GENERAL HOSPITAL,2191.65
A84619,ELSDON AVENUE SURGERY,RTFED,WANSBECK HOSPITAL,833.77
A88013,CENTRAL SURGERY,R0B01,SUNDERLAND ROYAL HOSPITAL,1038.04
A88013,CENTRAL SURGERY,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1769.21
A88013,CENTRAL SURGERY,RXPDA,DARLINGTON MEMORIAL HOSPITAL,2726.2
A88013,CENTRAL SURGERY,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1525.12
A88013,CENTRAL SURGERY,RTFDH,BERWICK INFIRMARY,5163.11
A88013,CENTRAL SURGERY,RTFDJ,ALNWICK INFIRMARY,3095.68
A88013,CENTRAL SURGERY,RTFDR,HEXHAM GENERAL HOSPITAL,2926.83
A88013,CENTRAL SURGERY,RTFED,WANSBECK HOSPITAL,1972.81
A86033,BRUNTON PARK,R0B01,SUNDERLAND ROYAL HOSPITAL,1981.02
A86033,BRUNTON PARK,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2526.08
A86033,BRUNTON PARK,RXPDA,DARLINGTON MEMORIAL HOSPITAL,3483.07
A86033,BRUNTON PARK,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,594.64
A86033,BRUNTON PARK,RTFDH,BERWICK INFIRMARY,4146.99
A86033,BRUNTON PARK,RTFDJ,ALNWICK INFIRMARY,2079.55
A86033,BRUNTON PARK,RTFDR,HEXHAM GENERAL HOSPITAL,1782.74
A86033,BRUNTON PARK,RTFED,WANSBECK HOSPITAL,1253.31
A87612,WELLSPRING MEDICAL PRACT.,R0B01,SUNDERLAND ROYAL HOSPITAL,1467.11
A87615,MALLARD MEDICAL PRACTICE,R0B01,SUNDERLAND ROYAL HOSPITAL,1467.11
A87612,WELLSPRING MEDICAL PRACT.,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2198.7
A87615,MALLARD MEDICAL PRACTICE,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2198.7
A87612,WELLSPRING MEDICAL PRACT.,RXPDA,DARLINGTON MEMORIAL HOSPITAL,3155.69
A87615,MALLARD MEDICAL PRACTICE,RXPDA,DARLINGTON MEMORIAL HOSPITAL,3155.69
A87612,WELLSPRING MEDICAL PRACT.,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,860.91
A87615,MALLARD MEDICAL PRACTICE,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,860.91
A87612,WELLSPRING MEDICAL PRACT.,RTFDH,BERWICK INFIRMARY,4222.4
A87615,MALLARD MEDICAL PRACTICE,RTFDH,BERWICK INFIRMARY,4222.4
A87612,WELLSPRING MEDICAL PRACT.,RTFDJ,ALNWICK INFIRMARY,2154.97
A87615,MALLARD MEDICAL PRACTICE,RTFDJ,ALNWICK INFIRMARY,2154.97
A87612,WELLSPRING MEDICAL PRACT.,RTFDR,HEXHAM GENERAL HOSPITAL,2049.02
A87615,MALLARD MEDICAL PRACTICE,RTFDR,HEXHAM GENERAL HOSPITAL,2049.02
A87612,WELLSPRING MEDICAL PRACT.,RTFED,WANSBECK HOSPITAL,1032.1
A87615,MALLARD MEDICAL PRACTICE,RTFED,WANSBECK HOSPITAL,1032.1
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,1426.49
A87023,BRIDGE MEDICAL,R0B01,SUNDERLAND ROYAL HOSPITAL,1426.49
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2158.08
A87023,BRIDGE MEDICAL,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2158.08
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RXPDA,DARLINGTON MEMORIAL HOSPITAL,3115.07
A87023,BRIDGE MEDICAL,RXPDA,DARLINGTON MEMORIAL HOSPITAL,3115.07
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1106.1
A87023,BRIDGE MEDICAL,RTDCA,PONTELAND ROAD URGENT TREATMENT CENTRE,1106.1
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RTFDH,BERWICK INFIRMARY,4418.22
A87023,BRIDGE MEDICAL,RTFDH,BERWICK INFIRMARY,4418.22
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RTFDJ,ALNWICK INFIRMARY,2350.78
A87023,BRIDGE MEDICAL,RTFDJ,ALNWICK INFIRMARY,2350.78
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RTFDR,HEXHAM GENERAL HOSPITAL,2294.21
A87023,BRIDGE MEDICAL,RTFDR,HEXHAM GENERAL HOSPITAL,2294.21
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RTFED,WANSBECK HOSPITAL,1227.92
A87023,BRIDGE MEDICAL,RTFED,WANSBECK HOSPITAL,1227.92
A84007,PONTELAND MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,2192.45
A84011,WHITE MEDICAL GROUP,R0B01,SUNDERLAND ROYAL HOSPITAL,2192.45
A84007,PONTELAND MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2644.22
A84011,WHITE MEDICAL GROUP,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,2644.22
A84007,PONTELAND MEDICAL GROUP,RXPDA,DARLINGTON MEMORIAL HOSPITAL,3601.21
